year,owner_type2,parcels,median_value,median_value_adj
2016,rest of Wisconsin landlord,2304,72050,88577.99202404442
2016,suburbs landlord,13479,78400,96384.65752512259
2016,NA,30,62400,76714.31925468941
2017,bank,533,78300,94707.97131424498
2017,City of Milwaukee,249,35000,42334.34222220401
2017,City of Milwaukee landlord,21266,56900,68823.54492695452
2017,outside WI landlord,4767,72800,88055.43182218434
2017,owner occupied,92375,107300,129784.9977269283
2017,rest of Wisconsin landlord,2280,70850,85696.80418409013
2017,suburbs landlord,13248,80900,97852.80816503728
2017,NA,28,70300,85031.55023488405
2018,bank,340,82750,97318.36029277073
2018,City of Milwaukee,98,38000,44690.002309671145
2018,City of Milwaukee landlord,21377,59000,69387.10884922625
2018,outside WI landlord,5246,71600,84205.37277295931
2018,owner occupied,92137,113700,133717.1911213055
2018,rest of Wisconsin landlord,2304,73800,86792.6886961508
2018,suburbs landlord,13219,85300,100317.29465828813
2018,NA,21,75500,88791.9782731624
2019,bank,252,82850,95816.99946350462
2019,City of Milwaukee,186,39650,45855.69135459213
2019,City of Milwaukee landlord,20991,62700,72513.28746362992
2019,outside WI landlord,5598,72450,83789.27714098865
2019,owner occupied,92703,116500,134733.62024741445
2019,rest of Wisconsin landlord,2233,75900,87779.24271913095
2019,suburbs landlord,12899,88000,101773.03503667357
2019,NA,96,59200,68465.49629739858
2020,bank,130,100900,115850.0223546655
2020,City of Milwaukee,11,33400,38348.768549512664
2020,City of Milwaukee landlord,20569,72100,82782.82073113363
2020,outside WI landlord,5981,81700,93805.22127231093
2020,owner occupied,93417,131800,151328.3740965799
2020,rest of Wisconsin landlord,2307,80700,92657.05454927162
2020,suburbs landlord,12616,100000,114816.67230393013
2020,NA,17,75200,86342.13757255545
2021,bank,117,100300,109322.2062704139
2021,City of Milwaukee,41,43100,46976.94008230148
2021,City of Milwaukee landlord,19618,72100,78585.55405879204
2021,outside WI landlord,6468,78700,85779.23861895886
2021,owner occupied,94222,131800,143655.70076211914
