year,aldermanic,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
1993,NA,6,5,1,28600,60220.73873873873,83.33333333333334,16.666666666666664
1994,1,10610,8428,2170,36700,75395.29885057472,79.4344957587182,20.45240339302545
1994,10,10177,8514,1656,60000,123262.06896551725,83.65923160066816,16.271985850447088
1994,11,11173,10371,801,85800,176264.75862068965,92.82198156269578,7.169068289626779
1994,12,6394,4008,2378,31800,65328.89655172414,62.68376603065374,37.19111667187989
1994,13,10267,9594,672,81300,167020.10344827586,93.44501801889548,6.545242037596181
1994,14,11347,9632,1715,68100,139902.44827586206,84.88587291795187,15.114127082048118
1994,15,9145,4516,4569,19000,39032.988505747126,49.3821760524877,49.96172772006561
1994,2,9347,8148,1196,50600,103951.01149425287,87.17235476623516,12.795549374130738
1994,3,5744,4220,1521,86200,177086.50574712644,73.46796657381616,26.479805013927578
1994,4,1386,813,568,37100,76217.0459770115,58.658008658008654,40.98124098124098
1994,5,11237,10200,1037,71600,147092.7356321839,90.77155824508321,9.228441754916792
1994,6,9308,5511,3762,22300,45812.402298850575,59.20713364847443,40.41684572410829
1994,7,11432,8624,2785,40500,83201.89655172414,75.43736878936319,24.36144156752974
1994,8,7152,5510,1637,48000,98609.6551724138,77.0413870246085,22.888702460850112
1994,9,7904,6786,1117,64400,132301.28735632185,85.85526315789474,14.132085020242915
1994,NA,5,5,0,27100,55673.36781609195,100,0
1995,1,10613,8415,2184,36800,73368.43044619422,79.28955055121078,20.5785357580326
1995,10,10169,8509,1650,60200,120021.18241469817,83.6758776674206,16.225784246238568
1995,11,11176,10378,798,85900,171259.46128608924,92.85969935576234,7.1403006442376515
1995,12,6387,3954,2421,31900,63599.264435695535,61.90699859088774,37.90511977454204
1995,13,10279,9596,681,81600,162686.51968503935,93.35538476505498,6.625158089308298
1995,14,11350,9608,1735,68200,135970.8412073491,84.65198237885463,15.286343612334802
1995,15,8975,4362,4509,19100,38079.81036745407,48.6016713091922,50.23955431754875
1995,2,9343,8117,1221,50700,101080.96259842519,86.87787648506904,13.06860751364658
1995,3,5753,4231,1520,86800,173053.79790026246,73.54423778897966,26.420997740309403
1995,4,1387,806,576,37200,74165.91338582677,58.11103100216294,41.52847873107426
1995,5,11255,10223,1029,71900,143347.55839895012,90.83074189249223,9.14260328742781
1995,6,9250,5443,3743,22400,44659.04461942257,58.84324324324325,40.464864864864865
1995,7,11403,8562,2806,40600,80944.51837270342,75.08550381478558,24.607559414189247
1995,8,7157,5529,1623,48200,96096.69422572179,77.25303898281403,22.677099343300267
1995,9,7917,6763,1152,64700,128992.86548556431,85.42377163066817,14.550966275104207
1995,NA,4,4,0,32950,65692.65715223097,100,0
1996,1,10607,8287,2295,38600,74845.32610082962,78.12765155086264,21.636655039125106
1996,10,10166,8480,1684,65900,127779.9738353542,83.41530592169978,16.56502065709227
1996,11,11176,10374,801,95000,184204.81812380347,92.82390837508949,7.167143879742305
1996,12,6368,3957,2395,33300,64568.636247606904,62.13881909547738,37.609924623115575
1996,13,10284,9594,690,90200,174897.6273133376,93.29054842473745,6.709451575262544
1996,14,11343,9599,1740,75600,146588.2552648373,84.62487877986423,15.339857180640044
1996,15,8740,4279,4360,19800,38392.16209317167,48.95881006864988,49.88558352402746
1996,2,9348,8090,1252,54300,105287.59604339504,86.54257595207531,13.39323919554985
1996,3,5750,4205,1543,95300,184786.51754945758,73.1304347826087,26.83478260869565
1996,4,1379,808,563,40800,79111.12188895981,58.59318346627991,40.82668600435098
1996,5,11276,10222,1051,77200,149690.65220165925,90.65271372827243,9.320681092586023
1996,6,9151,5361,3734,23200,44984.75558391832,58.58376133755874,40.804283684843185
1996,7,11373,8464,2876,42900,83183.01786853862,74.42187637386793,25.287962718719776
1996,8,7155,5520,1631,50800,98501.10274409702,77.14884696016772,22.795248078266948
1996,9,7931,6718,1207,69100,133984.76770899812,84.70558567645946,15.21876182070357
1996,NA,4,3,1,36250,70288.68059987237,75,25
1997,1,10599,8263,2326,38700,73399.79213483147,77.96018492310596,21.94546655344844
1997,10,10171,8505,1657,66200,125557.26716604247,83.62009635237439,16.291416773178646
1997,11,11188,10359,828,95200,180559.69538077406,92.59027529495889,7.400786557025385
1997,12,6352,3989,2349,33500,63537.28776529339,62.799118387909324,36.980478589420656
1997,13,10289,9593,695,90400,171455.84519350814,93.23549421712508,6.754786665370785
1997,14,11345,9579,1764,75800,143764.9675405743,84.43367122080213,15.548699867783164
1997,15,8639,4406,4155,20300,38501.69975031212,51.00127329552031,48.09584442643825
1997,2,9346,8060,1282,54500,103366.63233458178,86.24010271774021,13.717098223839075
1997,3,5748,4213,1532,96000,182077.00374531836,73.29505915100904,26.65274878218511
1997,4,1375,829,542,41000,77762.05368289638,60.290909090909096,39.41818181818182
1997,5,11302,10241,1061,77500,146989.24781523098,90.61228101221023,9.387718987789771
1997,6,9087,5364,3678,23400,44381.26966292135,59.029382634532844,40.475404423902276
1997,7,11360,8464,2869,43100,81744.98813982523,74.50704225352112,25.255281690140848
1997,8,7158,5481,1669,51000,96728.40823970038,76.57166806370495,23.316568873987148
