year,city_nhood,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
1992,CASTLE MANOR,743,695,48,76900,166776.39471805855,93.53970390309556,6.460296096904441
1992,CLARKE SQUARE,1002,631,369,35400,76773.52890792293,62.974051896207584,36.82634730538922
1992,CLAYTON CREST,527,505,22,102400,222079.3604568166,95.82542694497154,4.174573055028463
1992,CLOCK TOWER ACRES,306,177,129,21100,45760.493219129195,57.84313725490197,42.15686274509804
1992,COLD SPRING PARK,278,155,122,34250,74279.47359029265,55.75539568345324,43.884892086330936
1992,COLLEGE HEIGHTS,374,365,9,67200,145739.58029978588,97.59358288770053,2.406417112299465
1992,COLUMBUS PARK,1129,1033,96,54500,118196.53461812992,91.49689991142604,8.503100088573959
1992,CONCORDIA,172,121,51,38050,82520.69985724484,70.34883720930233,29.651162790697676
1992,COOPER PARK,1225,1139,86,68500,148558.94718058532,92.9795918367347,7.020408163265306
1992,COPERNICUS PARK,468,444,24,84350,182933.53568879375,94.87179487179486,5.128205128205128
1992,DINEEN PARK,918,787,128,51100,110822.80585296218,85.72984749455338,13.943355119825709
1992,DOWNER WOODS,644,543,100,144500,313383.4725196289,84.3167701863354,15.527950310559005
1992,DRETZKA PARK,14,10,4,81050,175776.6812990721,71.42857142857143,28.57142857142857
1992,ENDERIS PARK,969,902,67,78400,170029.5103497502,93.08565531475749,6.9143446852425186
1992,ESTABROOK PARK,10,4,6,39250,85123.19236259814,40,60
1992,EUCLID PARK,430,412,18,85100,184560.09350463958,95.81395348837209,4.186046511627907
1992,FAIR PARK,422,344,78,54700,118630.28336902215,81.51658767772511,18.48341232227488
1992,FAIRFIELD,339,280,59,34400,74604.78515346182,82.59587020648968,17.404129793510325
1992,FAIRVIEW,1424,1316,108,69900,151595.18843683085,92.41573033707866,7.584269662921349
1992,FERNWOOD,1090,952,138,65400,141835.84154175592,87.33944954128441,12.660550458715598
1992,FLORIST HIGHLANDS,265,212,53,86220,186989.086509636,80,20
1992,FOREST HOME HILLS,836,571,265,35500,76990.40328336903,68.30143540669856,31.698564593301437
1992,FRANKLIN HEIGHTS,2289,1581,697,24900,54001.719486081376,69.0694626474443,30.449978156400174
1992,FREEDOM VILLAGE,15,15,0,70300,152462.6859386153,100,0
1992,GARDEN HOMES,598,486,111,32800,71134.79514632406,81.27090301003345,18.561872909698995
1992,GOLDEN GATE,266,263,3,91950,199415.9882226981,98.87218045112782,1.1278195488721803
1992,GOLDEN VALLEY,1134,1063,70,63900,138582.72591006424,93.7389770723104,6.172839506172839
1992,GOLDMAN PARK,526,507,19,77100,167210.14346895076,96.38783269961976,3.6121673003802277
1992,GRA-RAM,497,467,30,77300,167643.892219843,93.96378269617706,6.036217303822937
1992,GRACELAND,784,664,117,50100,108654.06209850109,84.6938775510204,14.923469387755103
1992,GRANTOSA,364,309,55,68100,147691.44967880088,84.89010989010988,15.10989010989011
1992,GRANVILLE STATION,249,178,70,37000,80243.51891506067,71.4859437751004,28.11244979919679
1992,GRANVILLE WOODS,3,2,1,45000,97593.46895074948,66.66666666666666,33.33333333333333
1992,GRASSLYN MANOR,1584,1326,255,51250,111148.11741613134,83.71212121212122,16.098484848484848
1992,GREEN MOOR,208,197,11,76900,166776.39471805855,94.71153846153845,5.288461538461538
1992,GROVER HEIGHTS,107,72,35,27400,59423.578872234124,67.28971962616822,32.71028037383177
1992,HALYARD PARK,102,65,37,21400,46411.116345467526,63.725490196078425,36.27450980392157
1992,HAMPTON HEIGHTS,2131,1755,373,41000,88918.49393290508,82.35570154856875,17.503519474425154
1992,HARAMBEE,2703,1358,1333,20200,43808.62384011421,50.24047354790972,49.31557528671846
1992,HARBOR VIEW,9,4,5,17200,37302.39257673091,44.44444444444444,55.55555555555556
1992,HARDER'S OAKS,149,141,8,98200,212970.63668807998,94.63087248322147,5.369127516778524
1992,HAVENWOODS,179,149,29,36700,79592.89578872235,83.24022346368714,16.201117318435752
1992,HAWLEY FARMS,599,555,44,64900,140751.46966452536,92.65442404006677,7.345575959933222
1992,HAWTHORNE GLEN,122,98,24,50600,109738.43397573163,80.32786885245902,19.672131147540984
1992,HERITAGE HEIGHTS,34,32,2,83950,182066.03818700928,94.11764705882352,5.88235294117647
1992,HIGHWOOD ESTATES,505,461,44,80900,175451.36973590293,91.2871287128713,8.712871287128712
1992,HILLSIDE,40,33,7,20200,43808.62384011421,82.5,17.5
