year,owner_type2,aldermanic,parcels,median_value,median_value_adj
1992,City of Milwaukee landlord,4,469,26000,56387.33761598859
1992,City of Milwaukee landlord,5,547,71200,154414.5553176303
1992,City of Milwaukee landlord,6,3177,20600,44676.12134189865
1992,City of Milwaukee landlord,7,1951,35400,76773.52890792293
1992,City of Milwaukee landlord,8,974,41150,89243.80549607424
1992,City of Milwaukee landlord,9,669,48500,105184.07209136333
1992,bank,1,22,31050,67339.49357601714
1992,bank,10,7,46800,101497.20770877946
1992,bank,11,2,69100,149860.19343326197
1992,bank,12,8,27350,59315.141684511065
1992,bank,13,1,50200,108870.9364739472
1992,bank,14,4,37650,81653.2023554604
1992,bank,15,53,22200,48146.11134903641
1992,bank,2,11,51200,111039.6802284083
1992,bank,3,2,95050,206139.0938615275
1992,bank,4,2,43200,93689.7301927195
1992,bank,5,2,83200,180439.4803711635
1992,bank,6,13,22000,47712.36259814419
1992,bank,7,26,37850,82086.95110635262
1992,bank,8,6,48950,106160.00678087081
1992,bank,9,10,59050,128064.31870092792
1992,bank,NA,1,84200,182608.22412562458
1992,outside WI landlord,1,142,39550,85773.81548893648
1992,outside WI landlord,10,70,52550,113967.48429693078
1992,outside WI landlord,11,36,76800,166559.52034261244
1992,outside WI landlord,12,48,29850,64737.00107066381
1992,outside WI landlord,13,40,67400,146173.3290506781
1992,outside WI landlord,14,77,59900,129907.75089221986
1992,outside WI landlord,15,130,26650,57797.0210563883
1992,outside WI landlord,2,68,47350,102690.01677373305
1992,outside WI landlord,3,81,67400,146173.3290506781
1992,outside WI landlord,4,35,41500,90002.86581013563
1992,outside WI landlord,5,77,68000,147474.57530335477
1992,outside WI landlord,6,144,22350,48471.42291220557
1992,outside WI landlord,7,140,44300,96075.34832262671
1992,outside WI landlord,8,53,42800,92822.23269093505
1992,outside WI landlord,9,102,44550,96617.53426124198
1992,owner occupied,1,8584,36550,79267.58422555318
1992,owner occupied,10,8490,56400,122317.14775160601
1992,owner occupied,11,10360,75700,164173.90221270523
1992,owner occupied,12,4082,31100,67447.9307637402
1992,owner occupied,13,9538,70600,153113.30906495362
1992,owner occupied,14,9605,60000,130124.62526766596
1992,owner occupied,15,4655,23200,50314.85510349751
1992,owner occupied,2,8163,49100,106485.31834403999
1992,owner occupied,3,4225,85200,184776.96788008566
1992,owner occupied,4,808,44650,96834.40863668808
1992,owner occupied,5,10126,64600,140100.84653818703
1992,owner occupied,6,5647,24300,52700.473233404715
1992,owner occupied,7,8708,40500,87834.12205567452
1992,owner occupied,8,5496,45800,99328.46395431836
1992,owner occupied,9,6718,61600,133594.6152748037
1992,owner occupied,NA,4,20850,45218.30728051392
1992,rest of Wisconsin landlord,1,109,33400,72436.04139900072
1992,rest of Wisconsin landlord,10,75,51200,111039.6802284083
1992,rest of Wisconsin landlord,11,35,73900,160270.16345467526
1992,rest of Wisconsin landlord,12,111,29100,63110.443254818
1992,rest of Wisconsin landlord,13,35,65200,141402.09279086368
1992,rest of Wisconsin landlord,14,88,55250,119823.09243397575
1992,rest of Wisconsin landlord,15,139,20700,44892.99571734476
1992,rest of Wisconsin landlord,2,73,45600,98894.71520342614
1992,rest of Wisconsin landlord,3,42,80900,175451.36973590293
1992,rest of Wisconsin landlord,4,16,16600,36001.14632405425
1992,rest of Wisconsin landlord,5,51,63600,137932.10278372592
1992,rest of Wisconsin landlord,6,63,23800,51616.101356174164
1992,rest of Wisconsin landlord,7,115,36500,79159.14703783013
1992,rest of Wisconsin landlord,8,89,44200,95858.4739471806
1992,rest of Wisconsin landlord,9,50,48900,106051.56959314775
1992,suburbs landlord,1,419,36300,78725.39828693791
1992,suburbs landlord,10,508,55200,119714.65524625269
1992,suburbs landlord,11,263,87700,190198.82726623843
1992,suburbs landlord,12,660,31000,67231.05638829408
1992,suburbs landlord,13,191,71700,155498.92719486082
1992,suburbs landlord,14,453,56500,122534.02212705211
1992,suburbs landlord,15,687,22800,49447.35760171307
1992,suburbs landlord,2,402,50150,108762.49928622413
1992,suburbs landlord,3,293,64500,139883.97216274092
1992,suburbs landlord,4,82,33600,72869.79014989294
1992,suburbs landlord,5,398,73250,158860.48001427553
1992,suburbs landlord,6,374,20750,45001.43290506782
1992,suburbs landlord,7,518,41750,90545.0517487509
1992,suburbs landlord,8,534,41900,90870.36331192007
1992,suburbs landlord,9,384,52650,114184.35867237688
1992,suburbs landlord,NA,1,39000,84581.00642398288
1992,NA,10,1,23500,50965.47822983584
1992,NA,11,1,80100,173716.37473233408
1992,NA,12,2,33300,72219.16702355462
1992,NA,13,1,55200,119714.65524625269
1992,NA,14,3,76900,166776.39471805855
1992,NA,15,6,21550,46736.42790863669
1992,NA,2,1,69700,151161.43968593862
1992,NA,3,3,135900,294732.2762312634
1992,NA,7,2,37000,80243.51891506067
1992,NA,9,1,75700,164173.90221270523
1993,City of Milwaukee,1,13,35200,74117.83229383228
1993,City of Milwaukee,10,2,48200,101490.89535689534
1993,City of Milwaukee,12,5,28500,60010.176715176705
1993,City of Milwaukee,13,1,49700,104649.32571032569
1993,City of Milwaukee,15,76,15600,32847.67567567567
1993,City of Milwaukee,2,2,36250,76328.73354123352
1993,City of Milwaukee,3,1,46500,97911.34095634095
1993,City of Milwaukee,4,3,32200,67800.97158697157
1993,City of Milwaukee,5,1,42300,89067.73596673596
1993,City of Milwaukee,6,58,19450,40954.31358281358
1993,City of Milwaukee,7,17,22200,46744.76923076923
1993,City of Milwaukee,8,4,38600,81276.94109494108
1993,City of Milwaukee,9,1,60000,126337.21413721412
1993,City of Milwaukee landlord,1,1391,34900,73486.14622314622
1993,City of Milwaukee landlord,10,1014,49200,103596.51559251559
1993,City of Milwaukee landlord,11,453,85600,180241.09216909215
1993,City of Milwaukee landlord,12,1506,29100,61273.54885654885
1993,City of Milwaukee landlord,13,426,77350,162869.7252252252
1993,City of Milwaukee landlord,14,1090,57200,120441.47747747746
1993,City of Milwaukee landlord,15,3607,20000,42112.40471240471
1993,City of Milwaukee landlord,2,621,51300,108018.31808731807
1993,City of Milwaukee landlord,3,1104,72200,152025.781011781
1993,City of Milwaukee landlord,4,470,26400,55588.374220374215
1993,City of Milwaukee landlord,5,527,71600,150762.40887040886
1993,City of Milwaukee landlord,6,3205,20800,43796.900900900895
1993,City of Milwaukee landlord,7,1965,35200,74117.83229383228
1993,City of Milwaukee landlord,8,969,41200,86751.5537075537
1993,City of Milwaukee landlord,9,634,51450,108334.16112266111
1993,bank,1,9,42000,88436.04989604988
1993,bank,10,4,40150,84540.65246015246
1993,bank,12,10,31650,66642.88045738045
1993,bank,13,1,50200,105702.13582813581
1993,bank,14,1,60000,126337.21413721412
1993,bank,15,24,24250,51061.29071379071
1993,bank,2,5,53800,113282.36867636866
